序号,公司名称,注册资金,法定代表人,成立时间,经营状态,电话,邮箱,详细地址,统一社会信用代码,纳税人识别号,注册号,组织机构代码,公司类型,所属行业,所属地区,成立时间,曾经用名,企业类型,股东,历史股东,补充电话,备注
北京赛惟咨询有限公司,北京赛惟咨询有限公司,100万人民币,方晓光,6003-08-09,在业,010-59786288,xingxiaohui@fg-china.cn,北京市东城区东直门南大街11号中汇广场C座9层903室,91110101663126085A,91110101663126085A,110101010238431,663126085,有限责任公司(自然人投资或控股),商务服务业,北京市工商行政管理局东城分局,6003-08-09,,有限责任公司(自然人投资或控股),方晓光,,,
北京三加一广告有限公司大连分公司,北京三加一广告有限公司大连分公司,-,陈斌,6099-01-04,存续,18941183131,1399602348@qq.com,辽宁省大连庄河市栗子房镇林坨村（政府第二办公楼131室）,91210204570887950X,91210204570887950X,210204000015994,570887950,有限责任公司分公司(自然人投资或控股),商务服务业,庄河市市场监督管理局,6099-01-04,,有限责任公司分公司(自然人投资或控股),,,,
北京三匠建筑工程设计有限公司,北京三匠建筑工程设计有限公司,1000万人民币,张浪,6093-04-40,在业,64097885,13691411489@qq.com,北京市顺义区李桥镇机场东路6号院3号楼3层305,91110113MA00D4HK07,91110113MA00D4HK07,110113023200515,MA00D4HK0,有限责任公司(自然人投资或控股),专业技术服务业,顺义分局,6093-04-40,,有限责任公司(自然人投资或控股),张浪,,,
北京三英联盟禾田广告有限公司,北京三英联盟禾田广告有限公司,600万人民币,赵亮,6090-01-67,在业,010-53638261,66211460@qq.com,北京市朝阳区建华南路6号院2号楼B座12B06室,91110105556899584G,91110105556899584G,110105012888086,556899584,有限责任公司(自然人投资或控股),商务服务业,北京市工商行政管理局朝阳分局,6090-01-67,,有限责任公司(自然人投资或控股),赵亮,,,
北京石大东方工程设计有限公司四川分公司,北京石大东方工程设计有限公司四川分公司,-,牟锐,6094-09-64,存续,13980770739,暂无信息,成都市金牛区二环路西三段119号2层34号,9.15101060600952E+017,9.15101060600952E+017,510106000314703,60095179,有限责任公司分公司(自然人投资或控股),专业技术服务业,金牛区市场和质量监督管理局,6094-09-64,,有限责任公司分公司(自然人投资或控股),,,,
北京时间传媒文化传播有限公司,北京时间传媒文化传播有限公司,604.84万人民币,蔡照明,6003-04-05,在业,67718418,1145299600@qq.com,北京市朝阳区农展馆南路13号3层315,9.11101057999922E+017,9.11101057999922E+017,110105010034780,799992193,有限责任公司(自然人投资或控股),文化艺术业,北京市工商行政管理局朝阳分局,6003-04-05,,有限责任公司(自然人投资或控股),蔡照明,,,
北京世邦魏理仕物业管理服务有限公司深圳分公司,北京世邦魏理仕物业管理服务有限公司深圳分公司,0万港元,Bahtiyar Tay Chih Herng,6008-02-94,存续,0755-82820000,lena.ye@cbre.com,深圳市福田区中心四路1号嘉里建设广场第二座第十六层01室,91440300793894875E,91440300793894875E,440301506403658,793894875,分公司,房地产业,福田局,6008-02-94,,分公司,北京世邦魏理仕物业管理服务有限公司,,,
北京世纪豪森建筑设计公司,北京多维豪森建筑设计有限公司,300万人民币,郭新华,9224-96-69,在业,010-56305037,1016513202@qq.com,北京市丰台区南四环西路188号十六区14号楼701室(园区),91110106101132571T,91110106101132571T,110108005020483,101132571,有限责任公司(法人独资),专业技术服务业,丰台分局,9224-96-69,,有限责任公司(法人独资),多维联合集团有限公司,,,
北京世纪豪森建筑设计有限公司,北京多维豪森建筑设计有限公司,300万人民币,郭新华,9224-96-69,在业,010-56305037,1016513202@qq.com,北京市丰台区南四环西路188号十六区14号楼701室(园区),91110106101132571T,91110106101132571T,110108005020483,101132571,有限责任公司(法人独资),专业技术服务业,丰台分局,9224-96-69,,有限责任公司(法人独资),多维联合集团有限公司,,,
北京世纪宇能科技有限公司,北京世纪宇能科技有限公司,1000万人民币,牛振才,6002-96-04,在业,010-88473833,goldtimer@sina.com,北京市海淀区小营西路25号4层01-406、414,91110108697690493P,91110108697690493P,110108012456459,697690493,有限责任公司(自然人投资或控股),科技推广和应用服务业,海淀分局,6002-96-04,,有限责任公司(自然人投资或控股),牛振才,,,
北京市环宇电梯工程有限公司,北京市环宇电梯工程有限公司,1580万人民币,任建辉,9222-96-65,在业,84627681,hydt@hydt.com,北京市昌平区小汤山工业园区01号,9.11101141030298E+017,9.11101141030298E+017,110114005979251,103029834,有限责任公司(自然人投资或控股),通用设备制造业,昌平分局,9222-96-65,,有限责任公司(自然人投资或控股),任建辉,,,
北京市金星卓宏幕墙工程有限公司,北京市金星卓宏幕墙工程有限公司,5055万人民币,李金星,9225-02-67,在业,63813295,jinxingmuqiang@163.com,北京市丰台区西四环南路46号国润商务大厦A202,9.11101066337102E+017,9.11101066337102E+017,110106005140669,633710192,有限责任公司(自然人投资或控股),建筑装饰和其他建筑业,丰台分局,9225-02-67,,有限责任公司(自然人投资或控股),李圣轮,,,
北京市山之田模型设计有限公司,北京市山之田模型设计有限公司,80万人民币,刘太桂,6099-05-66,在业,13911563092,bjszt@vip.163.com,北京市大兴区瀛海镇镇区瀛瑞街6号-3,91110115580832638W,91110115580832638W,110115014180532,580832638,有限责任公司(自然人投资或控股),专业技术服务业,大兴分局,6099-05-66,,有限责任公司(自然人投资或控股),刘爱英,,,
北京市天元律师事务所上海分所,北京市天元律师事务所上海分所,,,,,51089632,暂无信息,银城中路200号中银大厦2709-2712室,,,,,,,,,,,,,,
北京视域四维城市导向系统规划设计有限公司,北京视域四维城市导向系统规划设计有限公司,500万人民币,李菁菁,6007-09-01,在业,65953870,2880187718@qq.com,,91110105758248464E,91110105758248464E,110105006380904,758248464,有限责任公司(自然人投资或控股),专业技术服务业,北京市工商行政管理局朝阳分局,6007-09-01,,有限责任公司(自然人投资或控股),宫凤启,,,
北京思源置地房地产顾问有限公司,北京思源置地房地产顾问有限公司,3000万人民币,邢志刚,6008-09-95,在业,010-64742609,wangchenguang@syswin.com,北京市门头沟区石龙经济开发区永安路20号3幢B1-2103室,91110109785544082U,91110109785544082U,110109009279857,785544082,有限责任公司(法人独资),房地产业,门头沟分局,6008-09-95,,有限责任公司(法人独资),北京思源兴业房地产服务集团股份有限公司,,,
北京搜房科技发展有限公司,北京搜房科技发展有限公司,1100万人民币,莫天全,6008-04-97,在业,56318637,zhangshuang@fang.com,北京市海淀区中关村南大街46号南区14幢(服务楼二层203室),9.11101087868925E+017,9.11101087868925E+017,110108009395808,786892505,有限责任公司(自然人投资或控股),科技推广和应用服务业,北京市工商行政管理局海淀分局,6008-04-97,,有限责任公司(自然人投资或控股),莫天全,,,
北京搜房科技发展有限公司华东分公司,北京搜房科技发展有限公司华东分公司,-,莫天全,6096-09-90,存续,021-80136019,chenlinling@fang.com,共和新路3201、3155号253幢516室,9.13101065887075E+017,9.13101065887075E+017,310108000511891,588707516,有限责任公司分公司（自然人投资或控股）,科技推广和应用服务业,静安区市场监督管理局,6096-09-90,,有限责任公司分公司（自然人投资或控股）,,,,
北京搜房科技发展有限公司南宁分公司,北京搜房科技发展有限公司南宁分公司,-,莫天全,6090-02-08,存续,0771-2099960-8018,1412526323@qq.com,南宁市青秀区金浦路16号汇东国际E座30楼3002、3006、3008、3010,9.14501035667603E+017,9.14501035667603E+017,450103200074342,566760252,有限责任公司分公司(自然人投资或控股),科技推广和应用服务业,南宁市青秀区工商行政管理和质量技术监督局,6090-02-08,,有限责任公司分公司(自然人投资或控股),,,,
北京搜房网络技术有限公司大连分公司,北京搜房网络技术有限公司大连分公司,-,莫天全,6003-06-05,存续,0411-39271602,zhaoying.dl@fang.com,辽宁省大连市中山区友好路155号锦联国际大厦1003、1008室,9121020079692534XG,9121020079692534XG,210200400043239,79692534X,有限责任公司分公司（非自然人投资或控股的法人独资）,软件和信息技术服务业,大连市中山区市场监督管理局,6003-06-05,,有限责任公司分公司（非自然人投资或控股的法人独资）,,,,
北京搜狐新媒体信息技术有限公司,北京搜狐新媒体信息技术有限公司,6000万美元,张朝阳,6008-08-92,在业,010-62726583,dandanwang@sohu-inc.com,北京市海淀区科学院南路2号院3号楼12层1201,9.11101087178664E+017,9.11101087178664E+017,110000410291357,717866418,有限责任公司(台港澳法人独资),互联网和相关服务,北京市工商行政管理局海淀分局,6008-08-92,,有限责任公司(台港澳法人独资),搜狐（香港）有限公司,,,
北京苏宁云商销售有限公司,北京苏宁易购销售有限公司,57461.99万人民币,郝嘉,9225-07-90,在业,010-85766888,beijingcwb@cnsuning.com,北京市通州区融商六路1号2幢2层,9.11100006336977E+017,9.11100006336977E+017,110000005128824,633697741,其他有限责任公司,零售业,通州分局,9225-07-90,,其他有限责任公司,苏宁易购集团股份有限公司,,,
北京泰戈尔门业有限公司,北京泰戈尔门窗有限公司,500万人民币,吴怀兵,6008-01-91,在业,13161055757,zp246@sina.cn,北京市大兴区经济开发区金苑路2号1幢五层522室,91110115788989466J,91110115788989466J,110115009578084,788989466,有限责任公司(自然人独资),批发业,大兴分局,6008-01-91,,有限责任公司(自然人独资),吴怀兵,,,
北京汤嘉今悦贸易有限公司,北京汤嘉今悦贸易有限公司,100万人民币,王海涛,6002-03-98,在业,13910198093,huiguang18@126.com,北京市大兴区旧宫镇宣颐家园科技路51号,9.11101156923305E+017,9.11101156923305E+017,110115012100409,692330499,有限责任公司(自然人独资),批发业,大兴分局,6002-03-98,,有限责任公司(自然人独资),王海涛,,,
北京特普丽装饰装帧材料有限公司,北京特普丽装饰装帧材料有限公司,1796.293万人民币,杨冀,6009-02-91,在业,010-69303521,topli@topli.com.cn,,9111011172637647XB,9111011172637647XB,110111003280923,72637647X,有限责任公司(自然人投资或控股),非金属矿物制品业,北京市工商行政管理局房山分局,6009-02-91,,有限责任公司(自然人投资或控股),杨冀,,,
北京天宇元昊贸易有限公司,北京天宇元昊贸易有限公司,200万人民币,漆乾冲,6096-01-69,在业,13911770334,582186146@qq.com,北京市怀柔区雁栖经济开发区雁栖大街31号,91110116596009785T,91110116596009785T,110116014933133,596009785,有限责任公司(自然人独资),批发业,北京市工商行政管理局怀柔分局,6096-01-69,,有限责任公司(自然人独资),漆乾冲,,,
北京外企人力资源服务有限公司,北京外企人力资源服务有限公司,6086万人民币,王一谔,6006-99-05,在业,010-85691909,xie.na@fesco.com.cn,,9111010574470043X2,9111010574470043X2,110000004966332,74470043X,有限责任公司(法人独资),居民服务业,北京市工商行政管理局朝阳分局,6006-99-05,,有限责任公司(法人独资),北京外企服务集团有限责任公司,,,
北京万通立体之城投资有限公司,北京万通立体之城投资有限公司,1000万人民币,冯仑,6002-08-96,在业,010-58702201,wangxue@citylogic.cn,北京市西城区阜成门外大街2号1号楼8层18单元,9.1110102690827E+017,9.1110102690827E+017,110102012005200,690826992,其他有限责任公司,商务服务业,西城分局,6002-08-96,,其他有限责任公司,海南正道投资顾问有限公司,,,
北京万维罗盘信息技术有限公司,北京万维罗盘信息技术有限公司,135万美元,李喆,6008-07-97,在业,010-82112425,jli@luopan.com,北京市海淀区北三环西路25号27号楼二层2018室,9111010878775071XX,9111010878775071XX,110000410286004,78775071X,有限责任公司(外国法人独资),软件和信息技术服务业,海淀分局,6008-07-97,,有限责任公司(外国法人独资),罗盘有限公司,,,
北京网势广告有限公司,北京网势广告有限公司,100万人民币,刘铭宇,6007-90-61,,85869428,2467463560@qq.com,北京市朝阳区八里庄西里一号院住邦2000商务中心3号住宅楼507室,9.11101057684812E+017,9.11101057684812E+017,110105007572817,768481200,有限责任公司(自然人投资或控股),商务服务业,北京市工商行政管理局朝阳分局,6007-90-61,,有限责任公司(自然人投资或控股),刘铭宇,,,
北京威尔金顿酒店用品厂,北京威尔金顿酒店用品厂,1008万人民币,王红霜,6004-04-65,在业,13911891717,bjwallyjade@163.com,北京市大兴区北臧村镇新立村村民委员会东1000米,91110115748838786W,91110115748838786W,110115005580856,748838786,集体所有制（股份合作）,其他制造业,大兴分局,6004-04-65,,集体所有制（股份合作）,方芳,,,
北京威尼尊纳照明有限公司,北京威尼尊纳照明有限公司,200万人民币,李磊,6002-04-94,在业,13911175663,venezina@163.com,北京市丰台区丰台镇北大街14号4幢2号,91110106685759772W,91110106685759772W,110106011747385,685759772,有限责任公司(自然人独资),零售业,丰台分局,6002-04-94,,有限责任公司(自然人独资),郭光远,,,
北京威派格科技发展有限公司,北京威派格科技发展有限公司,3000万人民币,孙海玲,6003-07-60,在业,010-80261688,wanghaocheng@wapwag.net,,9111011566158551X8,9111011566158551X8,110115010149146,66158551X,有限责任公司(法人独资),科技推广和应用服务业,北京市工商行政管理局大兴分局,6003-07-60,,有限责任公司(法人独资),上海威派格智慧水务股份有限公司,,,
北京微我商业资产管理有限公司,北京微我商业资产管理有限公司,1000万人民币,冯岩,6097-07-93,在业,010-58702201,wangxue@citylogic.cn,北京市西城区阜成门外大街2号A座2503,91110102306320779R,91110102306320779R,110102017054104,306320779,有限责任公司(自然人投资或控股),商务服务业,北京市工商行政管理局西城分局,6097-07-93,,有限责任公司(自然人投资或控股),冯岩,,,
北京为屋德馨科技有限公司昆明分公司,北京为屋德馨科技有限公司昆明分公司,-,徐刚,6093-08-60,存续,0871-64603146,weiwuu@weiwuu.net,云南省昆明市西山区福海街道办事处杨家社区南亚风情第壹城C4幢2单元12层2-1211室,91530112MA6KQXJQ1R,91530112MA6KQXJQ1R,530112300342656,MA6KQXJQ1,有限责任公司分公司(自然人投资或控股),科技推广和应用服务业,西山区市场监督管理局,6093-08-60,,有限责任公司分公司(自然人投资或控股),,,,
北京五八信息技术有限公司成都分公司,北京五八信息技术有限公司成都分公司,-,杜岩,6090-05-99,存续,028-69600761,hemei@58ganji.com,成都市锦江区东御街19号(茂业天地）A座29层2901号,91510104558981055X,91510104558981055X,510104000088538,558981055,有限责任公司分公司(自然人投资或控股),商务服务业,锦江工商局,6090-05-99,,有限责任公司分公司(自然人投资或控股),,,,
北京五八信息技术有限公司南宁分公司,北京五八信息技术有限公司南宁分公司,-,邹芳,6099-09-92,存续,0771-5833591,fanyan01@58ganji.com,南宁市青秀区双拥路34号广西新谊金融投资大厦C座7层、8层A区,91450103569063823D,91450103569063823D,450103200089493,569063823,有限责任公司分公司(自然人投资或控股),互联网和相关服务,南宁市青秀区工商行政管理和质量技术监督局,6099-09-92,,有限责任公司分公司(自然人投资或控股),,,,
北京五八信息技术有限公司宁波分公司,北京五八信息技术有限公司宁波分公司,-,吴哺智,6095-09-93,存续,暂无信息,暂无信息,浙江省宁波市鄞州区海晏北路123号（12-3）,91330212MA2AGWYJ6R,91330212MA2AGWYJ6R,330204000128573,MA2AGWYJ6,有限责任公司分公司(自然人投资或控股),科技推广和应用服务业,宁波市鄞州区市场监督管理局,6095-09-93,,有限责任公司分公司(自然人投资或控股),,,,
北京西飞世纪门窗幕墙工程有限责任公司,北京西飞世纪门窗幕墙工程有限责任公司,10300万人民币,彭进本,9222-96-97,在业,010-61200957,xifei_bj@163.com,北京市大兴区黄村镇狼垡一村京良路口,91110115700356040Q,91110115700356040Q,110115000988233,700356040,有限责任公司(自然人投资或控股),建筑装饰和其他建筑业,北京市工商行政管理局大兴分局,9222-96-97,,有限责任公司(自然人投资或控股),彭进贵,,,
北京昕亿华消防工程有限公司,北京昕亿华消防工程有限公司,2000万人民币,李欣欣,9223-04-01,在业,88797952,947877636@qq.com,北京市海淀区四季青镇北辛庄路北软双新科创园B座204房间,9.11101086337904E+017,9.11101086337904E+017,110108005097492,633790380,有限责任公司(自然人投资或控股),土木工程建筑业,海淀分局,9223-04-01,,有限责任公司(自然人投资或控股),李欣欣,,,
北京欣邑东方室内设计有限公司（邱德光设计事务所）,,,,,,,,,,,,,,,,,,,,,,
北京新德恒门诊部有限公司,北京新德恒门诊部有限公司,1000万人民币,孙晖,6097-09-64,在业,010-65166900,liuwen@dehengclinic.com,北京市东城区东单三条8号-2号7层,9.11101010918776E+017,9.11101010918776E+017,110101016720989,91877552,其他有限责任公司,卫生,北京市工商行政管理局东城分局,6097-09-64,,其他有限责任公司,北京名仕厚德健康科技中心（有限合伙）,,,
北京信诚百年工程技术有限公司,北京信诚百年工程技术有限公司,500万人民币,赵强,6099-08-65,在业,010-59576080,info@technova.net.cn,北京市东城区南竹杆胡同2号1幢9层21008,91110101576857672U,91110101576857672U,110105014001081,576857672,有限责任公司(自然人投资或控股),专业技术服务业,东城分局,6099-08-65,,有限责任公司(自然人投资或控股),赵强,,,
北京星海文化传媒有限公司,北京星海文化传媒有限公司,880万人民币,陈碧群,6098-09-63,在业,89979900,wangyan@scemedia.com,北京市海淀区中关村东路1号院5号楼3层商业04,91110108MA003CQE6H,91110108MA003CQE6H,110108020617412,MA003CQE6,有限责任公司(自然人投资或控股),文化艺术业,海淀分局,6098-09-63,,有限责任公司(自然人投资或控股),陈碧群,,,
北京阳光海天停车管理有限公司,北京阳光海天停车管理有限公司,6000万人民币,闫亮,6008-05-05,在业,18410720609,hr@sunsea.net,北京市朝阳区来广营西路8号国创产业园6号楼3层东贰区,91110105792135295C,91110105792135295C,110105009830817,792135295,有限责任公司(台港澳法人独资),道路运输业,北京市工商行政管理局朝阳分局,6008-05-05,,有限责任公司(台港澳法人独资),阳光海天停车控股有限公司,,,
北京壹线传媒广告有限公司,北京壹线传媒广告有限公司,500万人民币,王伟娜,6094-96-99,在业,010-85749544,hr@bjideamaker.com,北京市朝阳区柳芳南里甲5号1号楼1至5层1-1三层3631,91110105085505808J,91110105085505808J,110105016568494,85505808,有限责任公司(法人独资),商务服务业,朝阳分局,6094-96-99,,有限责任公司(法人独资),天津奥度文化传播有限公司,,,
北京怡然居客科技发展有限公司,北京怡然居客科技发展有限公司,100万人民币,代建宁,6099-03-05,在业,010-56318637,zhangshuang@fang.com,北京市海淀区八里庄路62号院1号楼8层926,91110108579065291G,91110108579065291G,110108014033645,579065291,有限责任公司(自然人投资或控股),科技推广和应用服务业,北京市工商行政管理局海淀分局,6099-03-05,,有限责任公司(自然人投资或控股),莫天全,,,
北京怡然居客科技发展有限公司南宁分公司,北京怡然居客科技发展有限公司南宁分公司,-,李留军,6091-08-96,存续,0771-2099960-8018,1412526323@qq.com,南宁市青秀区金浦路16号汇东国际E座E3010号,9145010331599875X4,9145010331599875X4,450103000286834,31599875X,有限责任公司分公司(自然人投资或控股),零售业,南宁市青秀区工商行政管理和质量技术监督局,6091-08-96,,有限责任公司分公司(自然人投资或控股),,,,
北京怡然居客科技发展有限公司宁波市鄞州区分公司,北京怡然居客科技发展有限公司宁波市鄞州区分公司,-,周丽丽,6091-03-40,存续,28917401,yanglili@fang.com,宁波市鄞州区中河街道天童北路933号（和邦大厦A座604室）,9.13302123405409E+017,9.13302123405409E+017,330212000478850,340540919,有限责任公司分公司(自然人投资或控股),科技推广和应用服务业,宁波市鄞州区市场监督管理局,6091-03-40,,有限责任公司分公司(自然人投资或控股),,,,
北京怡然居客科技发展有限公司沈阳分公司,北京怡然居客科技发展有限公司沈阳分公司,-,李斌,6091-03-06,存续,22559088,wanglili.sy@fang.com,沈阳市沈河区友好街10号801单元,9.12101033408418E+017,9.12101033408418E+017,210103100047007,340841818,有限责任公司分公司(自然人投资或控股),研究和试验发展,沈阳市沈河区市场监督管理局,6091-03-06,,有限责任公司分公司(自然人投资或控股),,,,
北京怡然局客科技发展有限公司,,,,,,,,,,,,,,,,,,,,,,
北京亿美软通科技有限公司,北京亿美软通科技有限公司,20000万人民币,冯军,6009-01-91,在业,010-58750575,caoyanli@emay.cn,北京市海淀区羊坊店西路20号1号楼2层01号,9.11101088020897E+017,9.11101088020897E+017,110108002694289,802089684,有限责任公司(法人独资),科技推广和应用服务业,北京市工商行政管理局海淀分局,6009-01-91,,有限责任公司(法人独资),深圳市银之杰科技股份有限公司,,,
北京盈科（沈阳）律师事务所,,,,,,,,,,,,,,,,,,,,,,
北京永拓工程造价咨询有限责任公司广西分公司,北京永拓工程咨询股份有限公司广西分公司,-,周可,6005-09-07,存续,0771-5556629,gx@ytcpa.com.cn,南宁市双拥路４０－１号东方明珠花园１号楼Ｂ座２６０６号,91450103669728511P,91450103669728511P,450100200002736,669728511,其他股份有限公司分公司(非上市),专业技术服务业,南宁市青秀区工商行政管理和质量技术监督局,6005-09-07,,其他股份有限公司分公司(非上市),,,,
北京掌控体育科技有限公司,北京掌控体育科技有限公司,1000万人民币,张宁,6096-09-08,在业,13161748919,zhangkongtiyu@163.com,北京市朝阳区安定路1号11-3幢3331室,91110105589074730T,91110105589074730T,110105014550891,589074730,有限责任公司(自然人投资或控股),科技推广和应用服务业,北京市工商行政管理局朝阳分局,6096-09-08,,有限责任公司(自然人投资或控股),葛军,,,
北京正邦兴业建筑技术开发有限公司大连分公司,北京正邦兴业建筑技术开发有限公司大连分公司,-,邓金岭,6091-06-96,,暂无信息,暂无信息,辽宁省大连市甘井子区泉水A2区43号4单元9层1号,-,-,210211000120578,-,有限责任公司分公司(自然人投资或控股),研究和试验发展,大连市甘井子区市场监督管理局,6091-06-96,,有限责任公司分公司(自然人投资或控股),,,,
北京中百建筑工程有限公司,北京中百建筑工程有限公司,2000万人民币,张春刚,6096-07-09,在业,13701327060,960044326@qq.com,北京市北京经济技术开发区荣华南路7号院7号楼1002,9.1110302593877E+017,9.1110302593877E+017,110106014790500,593876998,有限责任公司(自然人投资或控股),房屋建筑业,开发区分局,6096-07-09,,有限责任公司(自然人投资或控股),张春刚,,,
北京中长石基软件有限公司,北京中长石基软件有限公司,1000万人民币,李仲初,6005-02-64,在业,010-68222238-861,joyce.liu@shijigroup.com,北京市海淀区复兴路甲65号-A5号楼14层,9.11101086804619E+017,9.11101086804619E+017,110108011347704,680461942,有限责任公司(法人独资),软件和信息技术服务业,海淀分局,6005-02-64,,有限责任公司(法人独资),北京中长石基信息技术股份有限公司,,,
北京中长石基信息技术股份有限公司,北京中长石基信息技术股份有限公司,106678万人民币,李仲初,9225-06-08,在业,68222238,erin.zhen@shijigroup.com,北京市海淀区复兴路甲65号—A11层,91110000634342985H,91110000634342985H,110000004733224,634342985,其他股份有限公司(上市),科技推广和应用服务业,北京市工商行政管理局海淀分局,9225-06-08,,其他股份有限公司(上市),李仲初,,,
北京中房研协技术服务有限公司,北京中房研协技术服务有限公司,3000万人民币,周忻,6090-05-93,在业,68323566,zhaoying.zf@cric.com,北京市西城区百万庄大街22号院1号楼4层401室,91110108562111466R,91110108562111466R,110000013150340,562111466,有限责任公司(外商投资企业与内资合资),科技推广和应用服务业,北京市工商行政管理局西城分局,6090-05-93,,有限责任公司(外商投资企业与内资合资),易居企业（中国）集团有限公司,,,
北京中建华腾装饰工程有限公司,北京中建华腾装饰工程有限公司,5126万人民币,陈建东,9224-01-07,在业,010-84899591,bjzjht@163.com,北京市朝阳区京顺东街6号院18号楼2层201、202,91110105101715734J,91110105101715734J,110105002251894,101715734,有限责任公司(自然人投资或控股),建筑装饰和其他建筑业,北京市工商行政管理局朝阳分局,9224-01-07,,有限责任公司(自然人投资或控股),陈建东,,,
北京中科软件有限公司,北京中科软件有限公司,5000万人民币,张星炜,9222-09-05,在业,010-53277000,wangzhi@zksoo.com,北京市海淀区万柳中路6号院4号楼1层102,91110108700215002X,91110108700215002X,110000005145945,700215002,有限责任公司(法人独资),软件和信息技术服务业,北京市工商行政管理局海淀分局,9222-09-05,,有限责任公司(法人独资),华多九州科技股份有限公司,,,
北京中税网控股股份有限公司四川分公司,北京中税网控股股份有限公司四川分公司,-,徐兆宏,6002-05-69,存续,028-85513685,caiwu_sichuan@vip.taxchina.com,成都市武侯区二环路南四段51号3栋10楼9、10、11号,9.1510107693659E+017,9.1510107693659E+017,510107000184719,693659050,股份有限公司分公司(非上市、自然人投资或控股),专业技术服务业,武侯区市场和质量监督管理局,6002-05-69,,股份有限公司分公司(非上市、自然人投资或控股),,,,
北京中外建建筑设计有限公司,北京中外建建筑设计有限公司,1080万人民币,刘方,6006-08-96,在业,010-62162665,1612915804@qq.com,北京市海淀区车公庄西路乙19号5层501,9.11101087400997E+017,9.11101087400997E+017,110108003885245,740099632,其他有限责任公司,专业技术服务业,北京市工商行政管理局海淀分局,6006-08-96,,其他有限责任公司,西安中外建建筑设计有限公司,,,
北京中岩大地科技股份有限公司,北京中岩大地科技股份有限公司,6976.4万人民币,王立建,6005-96-92,在业,010-57712508,officce@zydd.com,北京市海淀区翠微路12号6层1单元602,9.11101086835621E+017,9.11101086835621E+017,110108011533125,683562140,股份有限公司(非上市、自然人投资或控股),科技推广和应用服务业,北京市工商行政管理局海淀分局,6005-96-92,,股份有限公司(非上市、自然人投资或控股),王立建,,,
北京中指实证数据信息技术有限公司（重庆分公司）,北京中指实证数据信息技术有限公司重庆分公司,-,莫天全,6099-03-01,存续,023-88952436,暂无信息,重庆市渝中区邹容路131号28-8A号,9.15001035789578E+017,9.15001035789578E+017,500000500063343,578957837,有限责任公司(外国法人独资)分公司,软件和信息技术服务业,重庆市工商局,6099-03-01,,有限责任公司(外国法人独资)分公司,,,,
贝加艾奇（上海）建筑设计咨询有限公司,贝加艾奇（上海）建筑设计咨询有限公司,35万美元,DANIEL FRED MCALISTER,6000-09-01,存续,021-33607861,email@bharchitects.com,中国（上海）自由贸易试验区北张家浜路68号1幢417室,91310115703004905A,91310115703004905A,310115400065128,703004905,有限责任公司（外国法人独资）,商务服务业,自贸区市场监督管理局,6000-09-01,,有限责任公司（外国法人独资）,B+H CONSULTING HOLDINGS INC.,,,
贝克室内设计（上海）有限公司,贝克室内设计（上海）有限公司,500万人民币,潘淑坚,6004-02-93,存续,13524307028,暂无信息,上海市崇明区港西镇三双公路1021号1幢A127室（上海津桥经济开发区）,9.13102307543496E+017,9.13102307543496E+017,-,754349620,有限责任公司（自然人投资或控股）,建筑装饰和其他建筑业,崇明区市场监管局,6004-02-93,,有限责任公司（自然人投资或控股）,吕鲲鹏,,,
本溪康顿集团有限公司大连办事处,,,,,,,,,,,,,,,,,,,,,,
铂诺客工程咨询（北京）有限公司,铂诺客工程咨询（北京）有限公司,200万人民币,胡居传,6097-04-92,在业,010-63329088,info@prcchina.com.cn,北京市海淀区苏州街55号3层01-A163,91110108095351259T,91110108095351259T,110108016880340,95351259,有限责任公司(自然人投资或控股),专业技术服务业,海淀分局,6097-04-92,,有限责任公司(自然人投资或控股),胡居传,,,
博侃电气（合肥）有限公司,博侃电气（合肥）有限公司,11500万人民币,张明,6096-06-67,存续,0551-62880273,mzhang@miccgroup.com,,91340100590199127F,91340100590199127F,340191000009105,590199127,其他有限责任公司,电气机械和器材制造业,合肥市高新开发区市场监督管理局,6096-06-67,,其他有限责任公司,博侃电气（上海）有限公司,,,
博世热力技术（北京）有限公司,博世热力技术（北京）有限公司,300万欧元,郑大智,6000-06-98,在业,010-87851777,jia.wang3@cn.bosch.com,北京市北京经济技术开发区永昌南路6号1号楼三层,9.11103027182682E+017,9.11103027182682E+017,110000450040048,718268233,有限责任公司(外国法人独资),科技推广和应用服务业,开发区分局,6000-06-98,,有限责任公司(外国法人独资),罗伯特·博世投资荷兰有限公司,,,
博思堂地产综合服务股份有限公司,博思堂地产综合服务股份有限公司,5000万人民币,周宗光,6009-03-95,存续,0512-69202397,270870623@qq.com,苏州市高新区泰山路2号博济科技创业园,91320500730131192M,91320500730131192M,320512000026871,730131192,股份有限公司(非上市、自然人投资或控股),商务服务业,苏州市工商行政管理局,6009-03-95,,股份有限公司(非上市、自然人投资或控股),严伟虎,,,
步阳集团有限公司,步阳集团有限公司,23800万人民币,徐步云,9225-08-93,存续,0579-87271168,暂无信息,浙江省金华市永康市西城街道汤店山工业区,9.13307847045933E+017,9.13307847045933E+017,330784000037065,704593270,有限责任公司(自然人投资或控股),金属制品业,永康市市场监督管理局,9225-08-93,,有限责任公司(自然人投资或控股),徐步云,,,
